iso,year,country,capacity_pre5,dem,log_gdp0,growth10,cap_z
CHL,1970,Chile,0.8095600008964539,1.0,7.696826934814453,1.2732601165771484,0.5923979008895355
CHL,1980,Chile,0.5573800206184387,0.0,7.824152946472168,2.045145034790039,0.3253922121311268
CHL,1990,Chile,0.6800999999046325,1.0,8.028667449951172,4.637250900268555,0.45532692208551734
CHL,2000,Chile,1.24060001373291,1.0,8.492392539978027,2.6131153106689453,1.048778837167469
CHN,1970,China,-0.45507999658584597,0.0,4.806396484375,4.217109680175781,-0.7465905199475772
CHN,1980,China,-0.3104159988462925,0.0,5.228107452392578,7.422685623168945,-0.5934216985668668
CHN,1990,China,0.5717600107192993,0.0,5.970376014709473,8.852205276489258,0.3406176045551665
CHN,2000,China,0.6471000075340271,0.0,6.855596542358398,9.381847381591797,0.420386853955518
CIV,1970,Côte d'Ivoire,-0.36079999804496765,0.0,6.748666763305664,0.6368064880371094,-0.6467677825566203
CIV,1980,Côte d'Ivoire,-0.06945600025355816,0.0,6.812347412109375,-3.157777786254883,-0.33829561632770844
CIV,1990,Côte d'Ivoire,0.2339399978518486,0.0,6.496569633483887,-0.5367088317871094,-0.017062910419129076
CIV,2000,Côte d'Ivoire,0.0032607999630272387,1.0,6.442898750305176,-0.6096839904785156,-0.2613037817469773
CMR,1970,Cameroon,-0.41140000224113465,0.0,6.200261116027832,3.448476791381836,-0.7003425705183027
CMR,1980,Cameroon,-0.5497200012207031,0.0,6.545108795166016,0.3670167922973633,-0.8467944282585018
CMR,1990,Cameroon,-0.06638199761509896,0.0,6.581810474395752,-1.1626958847045898,-0.3350408924958559
CMR,2000,Cameroon,-0.43546000123023987,0.0,6.465540885925293,1.0483694076538086,-0.7258170613741208
COD,1970,"Congo, Dem. Rep. of",-1.126799988746643,0.0,5.805050849914551,-2.456541061401367,-1.4578010568108095
COD,1980,"Congo, Dem. Rep. of",-1.0479399919509889,0.0,5.559396743774414,-2.1043920516967773,-1.374304865968474
COD,1990,"Congo, Dem. Rep. of",-1.1984000205993652,0.0,5.348957538604736,-8.857588768005371,-1.5336104680054805
COD,2000,"Congo, Dem. Rep. of",-1.334000015258789,0.0,4.463198661804199,1.7903470993041992,-1.677182411859869
COG,1970,"Congo, Republic of",-0.6925400018692016,0.0,6.556492328643799,3.21990966796875,-0.9980108436122831
COG,1980,"Congo, Republic of",-0.4408399939537048,0.0,6.878483295440674,1.8648052215576172,-0.7315133448818772
COG,1990,"Congo, Republic of",-0.34899999499320983,0.0,7.0649638175964355,-1.307358741760254,-0.6342740551056447
COG,2000,"Congo, Republic of",-0.4029200106859207,0.0,6.93422794342041,1.9930124282836914,-0.6913640386643103
COL,1970,Colombia,-0.16342599987983703,1.0,7.305422306060791,3.053584098815918,-0.4377901299095599
COL,1980,Colombia,-0.10339279961772263,1.0,7.610780715942383,1.4062738418579102,-0.37422756651064937
COL,1990,Colombia,-0.0740619994699955,1.0,7.751408100128174,0.8218240737915039,-0.34317240310455616
COL,2000,Colombia,0.33009999990463257,1.0,7.833590507507324,2.4770641326904297,0.08475035624386275
COM,1980,Comoros,-0.8772599935531616,0.0,6.021913528442383,0.02018451690673828,-1.193590558356686
COM,1990,Comoros,-1.1297600269317627,1.0,6.023931980133057,-1.4073610305786133,-1.4609351161976718
COM,2000,Comoros,-1.2780000209808349,0.0,5.883195877075195,-0.649876594543457,-1.6178901673836503
CPV,1990,Cape Verde,0.2329000025987625,0.0,6.690188407897949,4.272260665893555,-0.018164047188786985
CPV,2000,Cape Verde,0.40434000492095945,1.0,7.117414474487305,4.632058143615723,0.16335494512105597
CRI,1970,Costa Rica,0.6641800045967102,1.0,7.771303176879883,2.961721420288086,0.43847098725858846
CRI,1980,Costa Rica,0.46373999714851377,1.0,8.067475318908691,-0.22005081176757812,0.22624707406593614
CRI,1990,Costa Rica,0.5103600084781647,1.0,8.045470237731934,2.656383514404297,0.2756078846317677
CRI,2000,Costa Rica,0.7038399934768677,1.0,8.311108589172363,2.4316883087158203,0.48046259434580835
CUB,1970,Cuba,-0.30115999579429625,0.0,7.483050346374512,3.0486202239990234,-0.5836215333542136
CUB,1980,Cuba,-0.11879999786615372,0.0,7.787912368774414,3.2544994354248047,-0.3905405568424926
CUB,1990,Cuba,0.3574399948120117,0.0,8.113362312316895,-1.9307851791381836,0.11369767459501959
CUB,2000,Cuba,0.46656000018119814,0.0,7.920283794403076,4.904475212097168,0.22923286560740821
CYP,1980,Cyprus,-0.11228599771857262,1.0,8.801851272583008,4.744424819946289,-0.383643597400828
CYP,1990,Cyprus,0.04069799780845642,1.0,9.276293754577637,2.283306121826172,-0.22166564399756664
CYP,2000,Cyprus,0.833079993724823,1.0,9.504624366760254,1.3188934326171875,0.6173006385208423
CZE,2000,Czech Republic,1.5361999988555908,1.0,8.616443634033203,2.9026317596435547,1.3617572010234895
DEU,2000,Germany,1.9888000249862672,1.0,10.040885925292969,0.9791851043701172,1.8409656678330586
DJI,1990,Djibouti,0.0002724003046751022,0.0,7.068024158477783,-4.437999725341797,-0.26446786998341876
DNK,1970,Denmark,2.0449999809265136,1.0,9.704607963562012,1.8333053588867188,1.9004696297553123
DNK,1980,Denmark,2.377399969100952,1.0,9.887938499450684,2.0194149017333984,2.252411475765284
DNK,1990,Denmark,2.699000024795532,1.0,10.089879989624023,2.184114456176758,2.5929184592332333
DNK,2000,Denmark,2.8892000198364256,1.0,10.3082914352417,0.1824951171875,2.7943003477628165
DOM,1970,Dominican Republic,-0.2487000048160553,0.0,7.067520618438721,4.3801116943359375,-0.52807740963764
DOM,1980,Dominican Republic,-0.5136799931526184,1.0,7.5055317878723145,0.17785072326660156,-0.8086356213362836
DOM,1990,Dominican Republic,-0.30979999899864197,1.0,7.523316860198975,4.115252494812012,-0.5927694839722917
DOM,2000,Dominican Republic,0.3052919998764992,1.0,7.934842109680176,3.7142467498779297,0.05848388922721893
DZA,1970,Algeria,-0.41980000138282775,0.0,7.269707202911377,2.672300338745117,-0.7092364071897357
DZA,1980,Algeria,-0.3405400037765503,0.0,7.536937236785889,-0.23367881774902344,-0.6253166994138725
