iso,country,transition_year,growth10_ddcg,growth10_mpd,log_gdp0_ddcg,log_gdp0_mpd,growth_difference
GHA,Ghana,1970,-1.0585832595825195,-0.9063363192042306,5.612730503082275,7.655390644826152,0.1522469403782889
GNB,Guinea-Bissau,1994,-2.02211856842041,-0.7996714059574828,5.230264663696289,7.154882533456362,1.2224471624629274
GRC,Greece,1975,1.4888477325439453,2.0994657650121695,8.972521781921387,9.368710707947624,0.6106180324682242
GTM,Guatemala,1966,2.8339147567749023,3.326186673052227,6.9864020347595215,8.268731832117737,0.4922719162773248
HND,Honduras,1982,-0.48764705657958984,-0.7647402566430372,7.0112714767456055,8.080546965824498,-0.2770932000634474
HRV,Croatia,2000,3.4006595611572266,4.383974727245938,8.423810958862305,9.439853734907304,0.9833151660887118
HUN,Hungary,1990,-0.27892112731933594,1.127900504316468,8.405191421508789,9.305923241869912,1.406821631635804
IDN,Indonesia,1999,3.377060890197754,3.8315593028397466,6.621154308319092,8.557102022226578,0.45449841264199264
KOR,Korea,1988,6.430015563964844,6.6163876516687194,8.615279197692871,9.293299511795402,0.1863720877038757
LSO,Lesotho,1993,1.8030643463134766,0.2292721282484944,5.78737735748291,7.557276443911831,-1.5737922180649822
MDG,Madagascar,1993,-1.6268634796142578,-0.3696021331353805,5.555016040802002,7.04981550205259,1.2572613464788773
MEX,Mexico,1997,2.1816539764404297,3.188823060457029,8.516060829162598,9.248262080332044,1.0071690840165992
MLI,Mali,1992,2.2158384323120117,0.9823396285394193,5.23075008392334,7.078980230640847,-1.2334988037725925
MNG,Mongolia,1993,1.7296123504638672,6.140320817683058,6.038744926452637,7.518070951274408,4.410708467219191
MOZ,Mozambique,1994,4.243168830871582,-2.1944031330747205,5.203793525695801,7.27190501013886,-6.4375719639463025
MWI,Malawi,1994,0.3511476516723633,0.4520209562156552,4.95099401473999,6.763611420409278,0.10087330454329191
NER,Niger,1991,-1.6145133972167969,-2.2921621352097077,5.2652668952941895,6.77078942390898,-0.6776487379929108
NGA,Nigeria,1979,-1.9868755340576172,-1.9602448196027922,5.983143329620361,7.614805364711073,0.02663071445482501
NIC,Nicaragua,1990,0.7746315002441406,1.3837177988479787,6.5519561767578125,7.780303087908373,0.6090862986038381
NPL,Nepal,1991,2.4111509323120117,2.4301813314254073,5.175734043121338,7.181591944611865,0.019030399113395546
PAK,Pakistan,1972,2.18414306640625,2.596652074983261,5.651024341583252,7.302496423727326,0.4125090085770111
PAN,Panama,1994,1.4498710632324219,1.8359933856069155,8.144891738891602,9.042001203897751,0.3861223223744936
PER,Peru,1980,-2.283492088317871,-2.5578332537106974,7.718865394592285,8.804475183846678,-0.27434116539282627
PHL,Philippines,1987,1.1841821670532227,1.8168304992924789,6.805517196655273,8.058643712215618,0.6326483322392562
PRT,Portugal,1976,1.9550704956054688,2.4259125670836035,8.603949546813965,9.248406572782638,0.4708420714781347
PRY,Paraguay,1993,-0.8190679550170898,0.7157987050141124,7.249203681945801,8.553826705677764,1.5348666600312022
ROU,Romania,1990,-2.1980762481689453,0.5162471630675647,7.606848239898682,8.745309029042781,2.71432341123651
SDN,Sudan,1965,-0.48467159271240234,-1.2511884714659693,5.592508316040039,7.316548177182976,-0.766516878753567
SEN,Senegal,2000,1.2131023406982422,0.7367540043354737,6.19582986831665,7.589890258008286,-0.4763483363627685
