iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center,log_gdp0_wdi,pre_growth10_wdi,growth10_wdi,growth20_wdi
HND,Honduras,LAC,1982,1981,True,True,-0.3232400000095367,0.376316088438034,-0.4718,33.098591549295776,0.0,7.0112714767456055,8.080546965824498,2.085442543029785,2.9565767016939937,-0.4876470565795898,0.1810073852539062,-0.7647402566430372,0.2035275695029437,-22.10000228881836,4.0,True,,-0.2580257659235562,0.1401981766352944,-3,5.8018530601029115,5.754727480466668,5.280916925911319,8.438320970653592
HRV,Croatia,ECA,2000,1999,True,True,1.0499799966812131,0.3841153442859649,0.0819999999999999,76.5432098765432,1.0,8.423810958862305,9.439853734907304,,-1.0402600560545316,3.4006595611572266,,4.383974727245938,3.1436809952329003,-2.700000286102295,1.0,True,,1.7218869965655652,0.6414132866207878,15,9.05269579320283,,3.4824051848356774,2.6947248069361684
HTI,Haiti,LAC,1990,1989,True,True,-1.2203999996185302,0.3386725783348083,-2.1521999999999997,0.6993006993006993,0.0,,7.389563953677635,,-1.9062546426690563,,,-0.6749494656888988,-0.0461894642102178,-24.900001525878903,4.0,False,missing ten-year DDCG GDP endpoint,-1.5515537785516773,-1.3806430491133923,5,7.404950678907839,-2.147088447396044,-1.9257255198912215,-0.7577676118806043
HUN,Hungary,ECA,1990,1989,True,True,1.279199981689453,0.3425239980220794,0.8162,82.51748251748252,1.0,8.405191421508789,9.305923241869912,1.7180919647216797,0.9918936548784174,-0.2789211273193359,1.0830926895141602,1.127900504316468,2.851240569044453,-7.199999809265137,3.0,True,,2.0523770672236195,1.3058989019175542,5,9.090165218440077,1.7180962375514142,-0.3318641360307417,1.1419566075103926
IDN,Indonesia,EAP,1999,1998,True,True,-0.114419800043106,0.3420151770114898,-1.626,33.95061728395062,0.0,6.621154308319092,8.557102022226578,3.756399154663086,3.9658377474907343,3.377060890197754,,3.8315593028397466,4.080384849701257,-14.80000114440918,1.0,True,,0.0430518326953158,-0.9044072403839478,14,7.484481274835612,2.9578479496938304,3.2530431145375616,3.65981968474149
KEN,Kenya,AFR,2002,2001,True,True,-0.1911540009081363,0.3541490793228149,-1.0761999999999998,29.629629629629623,0.0,6.017658710479736,7.586996775182215,-0.7188558578491211,1.038739747436086,,,3.184448738780707,2.5624207396382603,,2.0,False,missing ten-year DDCG GDP endpoint,-0.0675837711978681,-0.4068123189862875,17,7.091986251347937,-0.8232768104434474,1.3100304192827572,1.7287376403720245
KHM,Cambodia,EAP,1993,1992,True,True,-0.8700199961662293,0.4636050820350647,-0.8542,10.218978102189782,0.0,,7.263529829410937,,0.4976152129229572,,,2.1574559224892287,3.0926159898296435,-16.599998474121094,1.0,False,missing ten-year DDCG GDP endpoint,-1.046374825268186,-0.2058918523615503,8,6.759809677146138,2.689916970292119,-2.6425965822323505,2.033257122481631
KOR,Korea,EAP,1988,1987,True,True,1.357200026512146,0.3396092236042022,0.0096,83.91608391608392,1.0,8.615279197692871,9.293299511795402,5.896816253662109,7.051270441281119,6.430015563964844,5.054903030395508,6.6163876516687194,5.030802920104431,-2.9000000953674316,0.0,True,,2.164837768780059,0.5758878731810086,3,8.92733091308637,7.263307007217179,7.329552549226878,5.87334972691929
LSO,Lesotho,AFR,1993,1992,True,True,-0.4997400045394897,0.3916844427585602,-0.8629999999999999,21.897810218978105,0.0,5.78737735748291,7.557276443911831,1.4707565307617188,1.9463117349400605,1.8030643463134768,,0.2292721282484944,1.2450642267760117,14.199996948242188,4.0,True,,-0.5125040085870579,-0.2138562672547831,8,6.380136455603721,2.5609012289101507,2.53225980893113,3.0523970846115933
MDG,Madagascar,AFR,1993,1992,True,True,-0.865939998626709,0.342838841676712,-0.8124,10.948905109489052,0.0,5.555016040802002,7.04981550205259,-1.5960264205932615,-2.107070960372619,-1.6268634796142578,,-0.3696021331353805,0.7925843997744542,-29.000003814697266,3.0,True,,-1.0404922724224022,-0.1680608816186944,8,6.175474120992834,-1.7231861739708432,-1.6739530307711359,-0.4135696668562927
