iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center
BOL,Bolivia,LAC,1982,1981,True,True,-0.7773800015449523,0.41080495715141296,-2.281,14.084507042253522,0.0,6.9572272300720215,8.308938252595778,0.9990644454956055,1.4471260032995126,-1.5906667709350586,-0.2105998992919922,-1.1746086178919946,0.12945690230989904,-26.199996948242188,5.0,True,,-0.9128061996221848,-1.497213121641619,-3
BRA,Brazil,LAC,1985,1984,True,True,0.33707999587059023,0.3544037938117981,-1.502,63.63636363636363,1.0,8.056733131408691,8.914357274485015,1.186385154724121,1.478071249386641,1.056528091430664,1.058969497680664,1.4698280874417868,1.9335321049910625,-21.099998474121094,3.0,True,,0.6940256099087236,-0.7921813941611217,0
BTN,Bhutan,SAS,2008,2007,True,True,0.4871399998664856,0.3537090659141541,2.28,57.407407407407405,1.0,7.058929920196533,,5.551028251647949,,,,,,,,False,missing ten-year DDCG GDP endpoint,0.9103825794887043,2.630706915635079,23
CAF,Central African Rep.,AFR,1993,1992,True,True,-0.9161400079727173,0.38887394070625303,-0.631,8.75912408759124,0.0,5.504217624664307,6.872328471263293,-2.7467966079711914,-2.2439290723146765,0.16201496124267578,,-0.3846557696903119,-0.2615605329458148,-4.600006103515625,5.0,True,,-1.1128707983838313,-0.0038853291604631275,8
CHL,Chile,LAC,1990,1989,True,True,0.6800999999046325,0.3305884003639221,-0.005799999999999983,75.52447552447552,1.0,8.010087013244629,9.210840247017833,2.498621940612793,1.6596431476918205,4.506778717041016,3.51107120513916,3.9467362422474395,2.9874179537942958,-7.40000057220459,1.0,True,,1.1885928936744108,0.5619501471178512,5
CIV,Côte d'Ivoire,AFR,2000,1999,True,True,0.0032607999630272387,0.35143041610717773,0.2824,39.50617283950617,0.0,6.501244068145752,7.790471665672217,-0.4022502899169922,0.3128422716442181,-1.2911701202392578,,0.370969837057169,2.1322527609280018,-18.5,4.0,True,,0.21272407924795023,0.8227847348712264,15
COG,"Congo, Republic of",AFR,1992,1991,True,True,-0.3171999990940094,0.3615056395530701,-1.4214,33.093525179856115,0.0,7.0618205070495605,8.259089166064498,0.5042362213134766,0.6347959877572329,-1.1472892761230469,,0.9714984068923727,2.096860864739307,9.400001525878906,4.0,True,,-0.24931727425658584,-0.7192345941162847,7
COM,Comoros,AFR,1990,1989,True,True,-1.1297600269317627,0.41445525288581847,-0.4699999999999999,3.4965034965034967,0.0,5.99850606918335,7.010311867307229,,0.7981710135560327,-1.0308027267456055,-0.8728718757629395,0.7077189212237123,1.3632167021981534,-17.900001525878906,3.0,True,,-1.420868790606071,0.14182726149981942,5
COM,Comoros,AFR,1996,1995,False,False,-1.2471999883651734,0.42122325897216795,-0.843,3.79746835443038,0.0,5.939619064331055,7.0621375154091695,-1.3248109817504883,0.042395779973132264,-0.533137321472168,,0.8123258722430293,1.8694515047133955,-8.200004577636719,1.0,False,no five consecutive observed pre-transition non-democratic years,-1.590194083733596,-0.19575532431561765,11
COM,Comoros,AFR,2002,2001,False,False,-1.2698000192642211,0.4196003615856171,-0.843,1.2345679012345678,0.0,5.889453887939453,7.104554215430652,-0.5486965179443359,1.005768204228632,,,1.9456724728014763,2.1884574720980643,,2.0,False,no five consecutive observed pre-transition non-democratic years; missing ten-year DDCG GDP endpoint,-1.6227788769331593,-0.19575532431561765,17
